year,wage,num_emp,num_jobs,num_est,wage_avg,age_avg,bra_id,cnae_id,cbo_id,cbo_1,cbo_4,num_jobs_est,cbo_display,bra_rca,wld_rca,wage_growth,num_emp_growth,wage_growth_5,num_emp_growth_5
2002,451.01,1,1,1,451.01,18,"4mg030000","g","1111","1","1111",1,"1111",false,false,,,,
2003,11834.58,27,27,7,438.32,33.741,"4mg030000","g","1111","1","1111",4,"1111",false,false,25.24,26,,
2004,663.41,2,2,2,331.71,23,"4mg030000","g","1111","1","1111",1,"1111",false,false,-0.944,-0.926,,
2005,7120.36,6,6,3,1186.73,33.667,"4mg030000","g","1111","1","1111",2,"1111",false,false,9.733,2,,
2006,11395.58,14,14,7,813.97,34.071,"4mg030000","g","1111","1","1111",2,"1111",false,false,0.6,1.333,,
2008,11439.19,18,18,12,635.51,32.111,"4mg030000","g","1111","1","1111",2,"1111",false,false,,,-0.007,-0.078
2009,15802.34,14,14,9,1128.74,29.643,"4mg030000","g","1111","1","1111",2,"1111",false,false,0.381,-0.222,0.885,0.476
2003,5166.84,9,9,8,574.09,31.444,"4mg030000","g","1112","1","1112",2,"1112",false,false,,,,
2004,3413.8,5,5,5,682.76,32,"4mg030000","g","1112","1","1112",1,"1112",false,false,-0.339,-0.444,,
2005,8612.65,8,8,8,1076.58,31.375,"4mg030000","g","1112","1","1112",1,"1112",false,false,1.523,0.6,,
2006,2822.04,3,3,3,940.68,28.333,"4mg030000","g","1112","1","1112",1,"1112",false,false,-0.672,-0.625,,
2007,5450.59,5,5,4,1090.12,29.2,"4mg030000","g","1112","1","1112",2,"1112",false,false,0.931,0.667,,
2008,4682.46,7,7,4,668.92,34.857,"4mg030000","g","1112","1","1112",2,"1112",false,false,-0.141,0.4,-0.019,-0.049
2009,5055.31,8,8,5,631.91,31.5,"4mg030000","g","1112","1","1112",2,"1112",false,false,0.08,0.143,0.082,0.099
2010,2311.17,2,2,2,1155.59,32.5,"4mg030000","g","1112","1","1112",1,"1112",false,false,-0.543,-0.75,-0.231,-0.242
2002,1500.44,3,3,2,500.15,37.667,"4mg030000","g","1113","1","1113",2,"1113",false,false,,,,
2003,1171.46,3,3,3,390.49,26.667,"4mg030000","g","1113","1","1113",1,"1113",false,false,-0.219,0,,
2004,1167.68,2,2,2,583.84,30,"4mg030000","g","1113","1","1113",1,"1113",false,false,-0.003,-0.333,,
2005,648.99,1,1,1,648.99,29,"4mg030000","g","1113","1","1113",1,"1113",false,false,-0.444,-0.5,,
2008,945.45,1,1,1,945.45,33,"4mg030000","g","1113","1","1113",1,"1113",false,false,,,-0.042,-0.197
2009,4000,1,1,1,4000,56,"4mg030000","g","1113","1","1113",1,"1113",false,false,3.231,0,0.279,-0.129
2010,4134.33,1,1,1,4134.33,57,"4mg030000","g","1113","1","1113",1,"1113",false,false,0.034,0,0.448,0
2002,242144.33,225,226,150,1071.44,35.434,"4mg030000","g","1114","1","1114",2,"1114",false,false,,,,
2003,4884.66,9,9,6,542.74,36.222,"4mg030000","g","1114","1","1114",2,"1114",false,false,-0.98,-0.96,,
2004,10100.3,13,13,9,776.95,36.769,"4mg030000","g","1114","1","1114",2,"1114",false,false,1.068,0.444,,
