year,num_emp,num_jobs,cbo_id,color,name
2009,1,1,7231,#9edae5,Metal Heat Treatment Workers
2009,1,1,1144,#752277,Non-Profit Organization Directors
2009,2,2,7162,#9edae5,Roofers
2009,59,59,3513,#d66011,Administrative Technicians
2009,9,9,3425,#d66011,Air Transport Technicians
2009,2,2,2543,#cc0000,Labor Inspectors
2009,9,9,8202,#ffc41c,Building Material Supervisors
2009,2,2,4212,#b7834b,Gambling Collectors
2009,15,15,7121,#9edae5,Ore Workers
2009,140,140,7662,#9edae5,Printers
2009,155,155,8481,#ffc41c,Craft Food Preservation Workers
2009,15,15,3764,#d66011,Models
2009,18,18,9543,#581f05,Office Equipment Technicians
2009,184,184,7633,#9edae5,Embroidery Machine Operators
2009,5,5,8301,#ffc41c,Paper Manufacturing Supervisors
2009,19,19,8332,#ffc41c,Handmade Paper Product Workers
2009,137,137,7311,#9edae5,Electrical Equipment Assemblers
2009,10,10,7601,#9edae5,Textile Supervisors
2009,201,201,5112,#17bcef,Public Transit Attendants
2009,11,11,3011,#d66011,Industrial Lab Technicians
2009,2,2,7523,#9edae5,Potters
2009,191,193,5141,#17bcef,Building Management
2009,60,60,3547,#d66011,Independent Salesmen
2009,120,120,9112,#581f05,HVAC Maintenance Workers
2009,1,1,3772,#d66011,Sports Referees
2009,16,16,3762,#d66011,Circus Artists
2009,101,101,3133,#d66011,Telecom Technicians
2009,87,87,9131,#581f05,Heavy Machinery Mechanics
2009,33,33,1233,#752277,Sales and Marketing Directors
2009,1656,1657,4221,#b7834b,Receptionists
2009,140,140,3515,#d66011,Secretarial Technicians
2009,23,23,2149,#cc0000,Production Engineers
2009,51,51,1427,#752277,Project Managers
2009,4,4,2631,#cc0000,Religious Professionals
2009,16,16,4231,#b7834b,Customs Brokers
2009,15,15,8213,#ffc41c,Laminating Operators
2009,16309,16324,4110,#b7834b,Administrative Assistants
2009,19,19,7312,#9edae5,Telecom Equipment Assemblers
2009,16,16,8321,#ffc41c,Paper and Cardboard Manufacturing Workers
2009,1,1,2422,#cc0000,Public Ministry
2009,4,4,2033,#cc0000,Health Science Researchers
2009,66,66,2611,#cc0000,Journalists
2009,15,15,8111,#ffc41c,Grinding and Mixing Machine Operators
2009,1,1,6120,#105B10,Other Farmers
2009,24,24,5192,#17bcef,Recycling Collectors
2009,2453,2458,5143,#17bcef,Other Building Maintenance Workers
2009,12,12,3252,#d66011,Food Production Technicians
2009,142,142,7212,#9edae5,Machine Operators
2009,31,31,2512,#cc0000,Economists
2009,235,235,5193,#17bcef,Veternary Service Workers
2009,2047,2049,5191,#17bcef,Couriers
2009,115,115,3222,#d66011,Nursing Assistants
2009,5,5,2111,#cc0000,Mathematicians
2009,23,23,4152,#b7834b,Postal Workers
2009,21,21,7683,#9edae5,Leather and Fur Footwear Workers
2009,122,122,2525,#cc0000,Financial Analysts
2009,19,19,7682,#9edae5,Tissue Makers
2009,169,169,7242,#9edae5,Steel Structural Erection Workers
2009,115,115,8401,#ffc41c,Food Manufacturing Supervisors
2009,23,23,9542,#581f05,Home Appliance Technicians
2009,208,208,3251,#d66011,Pharmacy Technicians
2009,181,181,5161,#17bcef,Beauty Workers
2009,155,155,3532,#d66011,Bank Technicians
2009,183,183,7711,#9edae5,Cabinetmakers
2009,1322,1322,3132,#d66011,Electronics Technicians
2009,161,162,7122,#9edae5,Ornamental Stone Workers
2009,139,139,3144,#d66011,Machinery Technicians
2009,2167,2171,7832,#9edae5,Movers
2009,9,9,3241,#d66011,Radiologists
2009,2,2,9912,#581f05,Amusement Park Maintenance Workers
2009,20,20,2613,#cc0000,Archivists
2009,25,25,6224,#105B10,Flower Culivators
2009,25,25,3523,#d66011,Tax Agents
2009,16,16,3123,#d66011,Geographic Technicians
2009,11,11,1236,#752277,Computer Service Officers
2009,212,212,6220,#105B10,Other Agricultural Support Workers
2009,24,24,2144,#cc0000,Mechanical Engineers
2009,4,4,2148,#cc0000,Cartographers and Surveyers
2009,2,2,3721,#d66011,Cinematography Technicians
2009,1624,1624,7825,#9edae5,General Cargo Drivers
2009,269,270,8414,#ffc41c,Food Preservation Workers
2009,21,21,7824,#9edae5,Public Transit Driver
2009,9,9,2236,#cc0000,Physiotherapists
2009,143,143,9511,#581f05,Electrical Maintenance Workers
2009,14,14,1111,#752277,Legislators
2009,46,46,2231,#cc0000,Doctors
2009,10,10,8103,#ffc41c,Pharmacuetical Production Supervisors
2009,1,1,2146,#cc0000,Material Science Engineers
2009,22,22,3311,#d66011,Early Childhood Teachers
2009,34,34,6326,#105B10,Coal Workers
2009,3,3,3114,#d66011,Plastic and Rubber Technicians
2009,214,214,7152,#9edae5,Masonry Workers
2009,82,82,9102,#581f05,Vehicle Maintenance Supervisors
2009,24,24,7828,#9edae5,Animal-Drawn Vehicle Conductors
2009,3,3,9154,#581f05,Camera Repairmen
2009,27,27,7751,#9edae5,Wood Finishers
2009,24,24,7253,#9edae5,Heavy Machinery Assemblers
2009,19,19,7701,#9edae5,Carpentry Supervisors
2009,76,76,2410,#cc0000,Lawyers
2009,13,13,3185,#d66011,Construction Design Planners
2009,179,179,3423,#d66011,Road Transport Technicians
2009,198,198,7244,#9edae5,Boiler Workers
2009,6,6,7606,#9edae5,Graphic Production Supervisors
2009,193,193,8418,#ffc41c,Pastry Manufacturing Workers
2009,29,29,2533,#cc0000,Stockbrokers
2009,4,4,2312,#cc0000,General Primary School Teachers
2009,14,14,7735,#9edae5,CNC Wood Machinists
2009,214,214,4121,#b7834b,Data Entry Specialists
2009,23,23,2617,#cc0000,Announcers
2009,2,2,1313,#752277,Education Directors
2009,95,95,9101,#581f05,Industrial Machinery Maintenance Supervisors
2009,5,5,2132,#cc0000,Chemists
2009,214,214,7156,#9edae5,Electrical Workers
2009,2631,2634,8485,#ffc41c,Butchers
2009,21,21,7112,#9edae5,Mineral Extraction Machinery Operators
2009,17,17,5171,#17bcef,Firefighters and Lifeguards
2009,174,174,9192,#581f05,Landscapers
2009,2,2,2623,#cc0000,Scenographers
2009,3,3,2331,#cc0000,Vocational Teachers
2009,270,270,7631,#9edae5,Clothing Preparation Workers
2009,7,7,2221,#cc0000,Agricultural Engineers
2009,144,144,9111,#581f05,Pump and Motor Mechanics
2009,1,1,2511,#cc0000,Anthropologists
2009,25,25,9143,#581f05,Subway Mechanics
2009,1180,1180,4101,#b7834b,Administrative Supervisors
2009,1,1,1238,#752277,Maintenance Officers
2009,25,25,7510,#9edae5,Jewelers
2009,15,15,2151,#cc0000,Maritime Officials
2009,187,187,7822,#9edae5,Cargo Equipment Operators
2009,160,160,7151,#9edae5,Excavators
2009,3,3,8624,#ffc41c,Gas Utility Workers
2009,32,32,3224,#d66011,Dental Technicians
2009,2,2,1221,#752277,Agricultural COOs
2009,2,2,2615,#cc0000,Writers
2009,3,3,6223,#105B10,Horticulture Farm Workers
2009,17,17,3732,#d66011,Camera Operators
2009,25,25,7733,#9edae5,Other Wood Machining Operators
2009,20,20,7214,#9edae5,CNC Machinists
2009,175,175,3511,#d66011,Accounting Technicians
2009,134,134,3171,#d66011,System Administrators
2009,3,3,7502,#9edae5,Glass and Ceramic Supervisors
2009,23,23,8232,#ffc41c,Glass Manufacturing Operators
2009,3,3,3183,#d66011,Utility Designers
2009,31,31,2142,#cc0000,Civil Engineers
2009,16,16,7524,#9edae5,Glassware and Ceramic Workers
2009,31,31,7153,#9edae5,Reinforced Concrete Assemblers
2009,189,189,1415,#752277,Hospitality Managers
2009,38,38,5133,#17bcef,Housekeepers
2009,120,128,2524,#cc0000,Human Resources Professionals
2009,65,67,1210,#752277,CEOs
2009,3,3,5131,#17bcef,Butlers and Maids
2009,37,37,3514,#d66011,Judicial Clerks
2009,829,846,2234,#cc0000,Pharmacists
2009,3,3,3763,#d66011,Presenters
2009,230,230,7250,#9edae5,Other Mechanical Fitters
2009,2606,2608,7823,#9edae5,Passenger Vehicle Drivers
2009,32,32,8331,#ffc41c,Paper Machinery Operators
2009,2,2,2626,#cc0000,Musicians
2009,1,1,8102,#ffc41c,Plastics and Rubber Production Supervisors
2009,109,111,1416,#752277,Transportation Managers
2009,245,245,4213,#b7834b,Billing Collectors
2009,9,9,1312,#752277,Health Service Directors
2009,18,18,7801,#9edae5,Packing and Labeling Supervisors
2009,35,35,7664,#9edae5,Photo Lab Technicians
2009,5,5,7618,#9edae5,Textile Inspectors
2009,2,2,3135,#d66011,Photonics Technicians
2009,8,8,2145,#cc0000,Chemical Engineers
2009,3588,3601,8483,#ffc41c,Bakers
2009,15,15,9153,#581f05,Biomedical Equipment Repairmen
2009,35,35,7653,#9edae5,Leather Machine Operators
2009,31,31,3741,#d66011,Audio Technicians
2009,242,242,9531,#581f05,Vehicle Maintenance Electricians
2009,385,385,7842,#9edae5,Production Line Feeders
2009,4,4,7623,#9edae5,Leather Finishers
2009,250,250,7243,#9edae5,Metal Welders
2009,26,26,3184,#d66011,Technical Product Designers
2009,5,5,6322,#105B10,Gums and Resins Extraction Workers
2009,230,230,3912,#d66011,Production Control Technicians
2009,36,36,7651,#9edae5,Leather Upholstery Workers
2009,4,4,7221,#9edae5,Metal Forging Workers
2009,4478,4484,5134,#17bcef,Restaurant Workers
2009,12,12,2235,#cc0000,Nurses
2009,16,16,9502,#581f05,Vehicle Electronics Maintenance Supervisors
