id,1,2,3,4,5,6,7,8,9,x
2002,15375.71,73051.61,50026.19,8703.11,12086.3,6217.61,43195.92,13336.64,10547.32,368.77
2003,51762.93,86778.67,61685.94,10451.69,14753.27,7768.75,56905.7,25062.63,18614.58,550.98
2004,52021.99,95064.33,72450.54,11363.55,16126.22,9256.96,65617.79,26876.16,21749.45,634.76
2005,75106.37,103207.58,74392.79,11884.17,17064.82,11425.59,70334.05,29613.75,23375.23,701.28
2006,99217.29,118636.67,76967.43,12875.64,19097.85,11574.98,74826.04,28766.07,25804.04,779.78
2007,127351.65,118803.75,91454.38,13544.1,20671.32,14743.15,85738.82,34847.65,26500.96,796.9
2008,87838.56,148665.23,107240.94,14515.86,23369.63,16379.03,97141.82,41054.12,30157,729.13
2009,92444.78,153071.9,111940.65,15845.89,27395.72,15307.41,108755.83,41558.24,31984.45,861.51
2010,104107.6,179523.18,124274.73,17850.78,27559.78,19783.53,121169.49,41240.96,35093.81,831.07
2011,124010.74,182261.92,149847,20717.64,30799.58,19987.58,131557.12,44766.42,43968.04,3366.55
2012,136090.93,226783.83,154247.33,23590.82,36934.73,24647.58,147200.13,55342.04,44062.66,1294.5
2013,149824.32,249754.79,171511.25,24881.9,40807.2,26605.69,154529.63,66907.99,46428.76,1385.58
2014,169743.88,256830.8,176595.8,27152.55,45870.28,32067.56,171353.49,62946.81,51012.73,1511.64
