article,available,color,desc,gender,icon,id,img_author,img_link,keywords,name,num_jobs,plural_pt,url
false,false,#A4BD99,"Military, Police and Firemen",false,/static/img/icons/cbo/cbo_0.png,0,Marcos Alves ,https://www.flickr.com/photos/m_alves/5773250586/in/photolist-9Naqgd-CZyDyM-6X6BnX-7sXhRw-9XCv4a-phCdrT-q4rQvJ-kxZAoR-nrBbAc-gQgqRt-nFPGYe-nJkWrn-nrBnAQ-DNHuvV-nL8qGx-puyf3U-nJk5SG-nLN5n6-mXXpgU-8xDsCZ-nJ5crk-CZstRJ-nJkNgd-ntEjhi-nLa6FH-DLxkH7-8n3u1u-DLwVd5-nrBnCo-ejfdXM-oyVRXR-duLfE9-d1XEUy-nJkL2d-nJaUfq-kFRjbi-9uK7Lx-DvWt1A-DpB5UV-5uAFxx-ejkWpu-nrTxxz-nrBbqn-nap5Wx-nJbboN-nL9HDr-ejkUYd-nrSRfn-DuRur7-DuR33f,false,"Military, Police and Firemen",0,true,profiles/cbo/0/
false,false,#A4BD99,General Armed Forces Officers,false,/static/img/icons/cbo/cbo_0.png,0101,,,false,General Armed Forces Officers,0,true,profiles/cbo/0101/
false,false,#A4BD99,Military Officers,false,/static/img/icons/cbo/cbo_0.png,0102,,,false,Military Officers,0,true,profiles/cbo/0102/
false,false,#A4BD99,Other Military Personnel,false,/static/img/icons/cbo/cbo_0.png,0103,,,false,Other Military Personnel,0,true,profiles/cbo/0103/
false,false,#A4BD99,Senior Policemen,false,/static/img/icons/cbo/cbo_0.png,0201,,,false,Senior Policemen,0,true,profiles/cbo/0201/
false,false,#A4BD99,Police Captains,false,/static/img/icons/cbo/cbo_0.png,0202,,,false,Police Captains,0,true,profiles/cbo/0202/
false,false,#A4BD99,Police Lieutenants,false,/static/img/icons/cbo/cbo_0.png,0203,,,false,Police Lieutenants,0,true,profiles/cbo/0203/
false,false,#A4BD99,Police Sergeants,false,/static/img/icons/cbo/cbo_0.png,0211,,,false,Police Sergeants,0,true,profiles/cbo/0211/
false,false,#A4BD99,Policemen,false,/static/img/icons/cbo/cbo_0.png,0212,,,false,Policemen,0,true,profiles/cbo/0212/
false,false,#A4BD99,Senior Fire Brigade Officials,false,/static/img/icons/cbo/cbo_0.png,0301,,,false,Senior Fire Brigade Officials,0,true,profiles/cbo/0301/
false,false,#A4BD99,Fire Brigade Officers,false,/static/img/icons/cbo/cbo_0.png,0302,,,false,Fire Brigade Officers,0,true,profiles/cbo/0302/
false,false,#A4BD99,Fire Brigade Lieutenants,false,/static/img/icons/cbo/cbo_0.png,0303,,,false,Fire Brigade Lieutenants,0,true,profiles/cbo/0303/
false,false,#A4BD99,Fire Brigade Sergeants,false,/static/img/icons/cbo/cbo_0.png,0311,,,false,Fire Brigade Sergeants,0,true,profiles/cbo/0311/
false,false,#A4BD99,Firefighters,false,/static/img/icons/cbo/cbo_0.png,0312,,,false,Firefighters,0,true,profiles/cbo/0312/
false,true,#752277,"Members of the Public Power Top, Officers of Public Interest Organizations and Business Managers",false,/static/img/icons/cbo/cbo_1.png,1,epp group,https://flic.kr/p/da6qkx,false,Public Sector Officials and Business Managers,2441156,true,profiles/cbo/1/
false,true,#752277,Legislators,false,/static/img/icons/cbo/cbo_1.png,1111,,,false,Legislators,0,true,profiles/cbo/1111/
false,true,#752277,Directors General of Government,false,/static/img/icons/cbo/cbo_1.png,1112,,,"Mayor, Governor, President, Cabinet Member, Deputy, Vice",Heads of Government,23426,true,profiles/cbo/1112/
false,true,#752277,Magistrates,false,/static/img/icons/cbo/cbo_1.png,1113,,,false,Magistrates,14790,true,profiles/cbo/1113/
false,true,#752277,Leaders of Public Service,false,/static/img/icons/cbo/cbo_1.png,1114,epp group,https://flic.kr/p/da6qkx,false,Public Service Leaders,772666,true,profiles/cbo/1114/
false,true,#752277,Public Managers,false,/static/img/icons/cbo/cbo_1.png,1115,,,false,Public Managers,3827,true,profiles/cbo/1115/
false,true,#752277,Leaders of Indigenous Peoples and Maroons of Caiì¤aras,false,/static/img/icons/cbo/cbo_1.png,1130,,,false,Indiginous Leaders,253,true,profiles/cbo/1130/
false,true,#752277,Leaders of Political Parties,false,/static/img/icons/cbo/cbo_1.png,1141,,,"Government Officials, Leaders, Political Parties",Politicians,274,true,profiles/cbo/1141/
false,true,#752277,Officers and Directors of Employers and Workers and Other Socioeconomic Interests,false,/static/img/icons/cbo/cbo_1.png,1142,,,false,Social Economic Workers,3195,true,profiles/cbo/1142/
false,true,#752277,Officers and Directors of Religious Entities,false,/static/img/icons/cbo/cbo_1.png,1143,,,false,Religious Leaders,328,true,profiles/cbo/1143/
false,true,#752277,"Officers and Directors of Civil Society Organizations, Nonprofit",false,/static/img/icons/cbo/cbo_1.png,1144,,,"Civil Society, Officers",Non-Profit Organization Directors,1073,true,profiles/cbo/1144/
false,true,#752277,CEOs,false,/static/img/icons/cbo/cbo_1.png,1210,,,Chief Executive Officers,CEOs,27384,true,profiles/cbo/1210/
false,true,#752277,"Officers Production and Business Operations in Agriculture, Fisheries, Aquaculture and Forestry",false,/static/img/icons/cbo/cbo_1.png,1221,,,"Agriculture, Fisheries, Aquaculture, Forestry ",Agricultural COOs,745,true,profiles/cbo/1221/
false,true,#752277,"Officers Production and Business Operations in Mining and Quarrying, Processing and Utilities",false,/static/img/icons/cbo/cbo_1.png,1222,,,false,Mining and Quarrying COOs,1594,true,profiles/cbo/1222/
false,true,#752277,COOs Works in Construction Company,false,/static/img/icons/cbo/cbo_1.png,1223,,,false,Construction COOs,2421,true,profiles/cbo/1223/
false,true,#752277,Officers of Company Operations in Trade,false,/static/img/icons/cbo/cbo_1.png,1224,,,false,Trade COOs,1577,true,profiles/cbo/1224/
false,true,#752277,"Directors of Tourism Services, Accommodation and Food",false,/static/img/icons/cbo/cbo_1.png,1225,,,false,Hospitality COOs,1030,true,profiles/cbo/1225/
false,true,#752277,"Directors of Operations Services in Enterprise Storage, Transport and Telecommunication",false,/static/img/icons/cbo/cbo_1.png,1226,,,Telecommunication,Storage and Transport COOs,2621,true,profiles/cbo/1226/
false,true,#752277,Directors of Service Operations in Institutions of Financial Intermediation,false,/static/img/icons/cbo/cbo_1.png,1227,,,Financial Institution,Financial COOs,1868,true,profiles/cbo/1227/
false,true,#752277,Officers Administrative and Financial,false,/static/img/icons/cbo/cbo_1.png,1231,MZ,https://flic.kr/p/jJ1xAd,false,Administrative and Financial Officers,66008,true,profiles/cbo/1231/
false,true,#752277,Directors of Human Resources and Labor Relations,false,/static/img/icons/cbo/cbo_1.png,1232,,,Labor Relations,Human Resource Directors,2901,true,profiles/cbo/1232/
false,true,#752277,Sales and Marketing Directors,false,/static/img/icons/cbo/cbo_1.png,1233,,,false,Sales and Marketing Directors,12608,true,profiles/cbo/1233/
false,true,#752277,Directors and Related Supplies,false,/static/img/icons/cbo/cbo_1.png,1234,,,false,Other Directors,1940,true,profiles/cbo/1234/
false,true,#752277,Officers Computer Services,false,/static/img/icons/cbo/cbo_1.png,1236,,,false,Computer Service Officers,2826,true,profiles/cbo/1236/
false,true,#752277,Directors of Research and Development,false,/static/img/icons/cbo/cbo_1.png,1237,,,false,R&amp;D Directors,1392,true,profiles/cbo/1237/
false,true,#752277,Officers Maintenance,false,/static/img/icons/cbo/cbo_1.png,1238,,,false,Maintenance Officers,1813,true,profiles/cbo/1238/
false,true,#752277,"Directors and Operations Managers in Business Services Personal, Social and Cultural",false,/static/img/icons/cbo/cbo_1.png,1311,,,false,Social Services Directors,18643,true,profiles/cbo/1311/
false,true,#752277,Directors and Operations Managers in Business and Related Health Services,false,/static/img/icons/cbo/cbo_1.png,1312,,,Hospital Management,Health Service Directors,26354,true,profiles/cbo/1312/
false,true,#752277,Directors and Managers of Educational Services Institution,false,/static/img/icons/cbo/cbo_1.png,1313,Talento Profissional,https://flic.kr/p/5CNFFm,false,Education Directors,49453,true,profiles/cbo/1313/
false,true,#752277,"Production Managers and Business Operations in Agriculture, Fisheries, Aquaculture and Forestry",false,/static/img/icons/cbo/cbo_1.png,1411,,,"Fishing, Forestry, Aquaculture",Agricultural Production Managers,15717,true,profiles/cbo/1411/
false,true,#752277,"Production Managers and Business Operations in the Mining and Quarrying, Manufacturing and Utilities",false,/static/img/icons/cbo/cbo_1.png,1412,MarkoLovric,https://pixabay.com/photo-1000618/,false,Mining Production Managers,75078,true,profiles/cbo/1412/
false,true,#752277,Managers Works in Construction Company,false,/static/img/icons/cbo/cbo_1.png,1413,,,"Civil Engineers, Carpenters",Construction Managers,12807,true,profiles/cbo/1413/
false,true,#752277,Managers of Trade and Technical Assistance,false,/static/img/icons/cbo/cbo_1.png,1414,Antonio E. Da Silva Campos,https://flic.kr/p/5Jg2wE,"Commercial Operations, Trade, Technical Assistance",Trade Managers,231344,true,profiles/cbo/1414/
false,true,#752277,"Managers of Service Operations in Business Tourism, Accommodation and Food",false,/static/img/icons/cbo/cbo_1.png,1415,germán garibaldi,https://flic.kr/p/4TzEnP,false,Hospitality Managers,68113,true,profiles/cbo/1415/
false,true,#752277,"Managers of Service Operations in Transportation Company, Communication and Logistics (Warehousing and Distribution)",false,/static/img/icons/cbo/cbo_1.png,1416,,,false,Transportation Managers,42638,true,profiles/cbo/1416/
false,true,#752277,Managers of Service Operations in Institutions of Financial Intermediation,false,/static/img/icons/cbo/cbo_1.png,1417,,,false,Financial Institution Managers,29656,true,profiles/cbo/1417/
false,true,#752277,"Managers Administrative, Financial, and Related Risks",false,/static/img/icons/cbo/cbo_1.png,1421,Vodafone Medien,https://flic.kr/p/vbcj7A,false,Financial Managers,391905,true,profiles/cbo/1421/
false,true,#752277,Managing Human Resources and Labor Relations,false,/static/img/icons/cbo/cbo_1.png,1422,Paulo Pampolin,https://flic.kr/p/hDNMZj,Hr Managers,Human Resource Managers,50556,true,profiles/cbo/1422/
false,true,#752277,"Marketing Managers, Marketing and Communication",false,/static/img/icons/cbo/cbo_1.png,1423,Vodafone Medien,https://flic.kr/p/vbcj7A,false,Marketing Managers,370850,true,profiles/cbo/1423/
false,true,#752277,Managers and Related Supplies,false,/static/img/icons/cbo/cbo_1.png,1424,,,false,Supply Managers,30086,true,profiles/cbo/1424/
false,true,#752277,Managers of Information Technology,false,/static/img/icons/cbo/cbo_1.png,1425,,,false,IT Managers,37731,true,profiles/cbo/1425/
false,true,#752277,Managers of Research and Development and Related,false,/static/img/icons/cbo/cbo_1.png,1426,,,false,R&amp;D Managers,17292,true,profiles/cbo/1426/
false,true,#752277,Maintenance Managers and the Like,false,/static/img/icons/cbo/cbo_1.png,1427,,,false,Project Managers,24373,true,profiles/cbo/1427/
false,true,#cc0000,Professionals of Arts and Sciences,false,/static/img/icons/cbo/cbo_2.png,2,Irekia,https://flic.kr/p/83iBHF,false,Professionals of Arts and Sciences,5270361,true,profiles/cbo/2/
false,true,#cc0000,Professionals Biotechnology,false,/static/img/icons/cbo/cbo_2.png,2011,,,false,Biotechnologist,2274,true,profiles/cbo/2011/
false,true,#cc0000,Professionals Metrology,false,/static/img/icons/cbo/cbo_2.png,2012,,,Measurement,Metrologist,1782,true,profiles/cbo/2012/
false,true,#cc0000,Mechatronic Engineers,false,/static/img/icons/cbo/cbo_2.png,2021,,,false,Electromachanical Engineers,2274,true,profiles/cbo/2021/
false,true,#cc0000,Researchers in the Biological Sciences,false,/static/img/icons/cbo/cbo_2.png,2030,,,Biological Sciences,Biology Researchers,3406,true,profiles/cbo/2030/
false,true,#cc0000,Researchers from the Natural and Exact Sciences,false,/static/img/icons/cbo/cbo_2.png,2031,,,false,Natural Science Researchers,1630,true,profiles/cbo/2031/
false,true,#cc0000,Researchers in Engineering and Technology,false,/static/img/icons/cbo/cbo_2.png,2032,,,false,Engineering Researchers,10366,true,profiles/cbo/2032/
